product_id,product_name,aisle_id,department_id
133,Purifying Daily Detox Scrub,109,11
134,Stain Release Boost In-Wash Stain Remover Pacs,75,17
135,Dark Chocolate Ice Cream Topping,103,19
136,Simple,45,19
137,Very Vanilla Soymilk,91,16
138,Olli Napoli Salami,96,20
139,"Zita Cut, No. 118",131,9
140,Chips Onion Chipotle Garlic,107,19
141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19
142,Arugula Salad,123,4
143,Organic Lemons,24,4
144,Coarse Grind Garlic Powder & Parsley Blend,104,13
145,Traditional Water Crackers,78,19
146,Anti Diarrheal Caplets,70,11
147,Organic Ranch Veggie Dip,67,20
148,Nectarines,24,4
149,Wild Blueberry All Natural Fruit Spread,88,13
150,Brut Rosé,134,5
151,Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,132,11
152,"3 in 1 Soap for Every Man, Cucumber & Lemon",25,11
153,"Fabric Refresher Meadows & Rain Air Freshener (1 Count, 27 oz)  Air Care",75,17
154,"Corn Dogs, Mini, Honey Crunchy Flavor",129,1
155,Artisan Ciabatta,58,1
156,Extra Spearmint Sugar-Free Gum,46,19
157,Living Organic Cilantro,16,4
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20
159,"Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry",47,11
160,100% Recycled Aluminum Foil,97,13
161,Hacho Miso Aged & Fermented Soybeans,66,6
162,Organic Mini Homestyle Waffles,52,1
163,Dressing Bleu Cheese,89,13
164,Peanut Butter Cacao Quinoa Clusters,3,19
165,Wild Chanterelle Mushroom Ravioli,12,9
166,Garlic Parmesan Pita Bread Chips,107,19
167,Sparkling Blush Grape Juice,77,7
168,Halves & Pieces Walnuts,17,13
169,Extra Sharp Cheddar Cheese,21,16
170,Single Herbs Ginkgo Leaf Dietary Supplement,47,11
171,Steakhouse Onion Burger with Garlic Seasoning,5,13
172,Gluten Free All Natural Chocolate Chip Cookies,61,19
173,Habanero Lime Shrimp Flavor Ramen Noodle Soup,4,9
174,Vanishing Acne Treatment Cream,73,11
175,T Bone Steak,122,12
176,Original Turkey,96,20
177,Citrus Terere Yerba Mate,94,7
178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,42,1
179,Penne Rigate With Spinach,131,9
180,Simply Beyond Black Bean Tortilla Chips,107,19
181,Country Style Baked Beans,59,15
182,Acti-Fresh Body Shape Long Unscented To Go Panty Liners,126,11
183,Cookie Dough Performance Energy,3,19
184,Kisses Milk Chocolate Candy,45,19
185,Chicken Nugget Meal,38,1
186,Fresh Scent Dishwasher Detergent with Dawn,74,17
187,Wild Sardines in Marinara Sauce,95,15
188,Mild El Nino Salsa,67,20
189,Healthfull Nuts & Seeds Bread,112,3
190,Classic Culinary Low Sodium Vegetable Broth,69,15
191,Medium Spicy Butter Chicken Simmer Sauce,9,9
192,Israeli Style Gefilte Fish,33,6
193,fruitwater® Strawberry Kiwi Sparkling Water,98,7
194,Lamb Rib Chops,122,12
195,Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,108,16
196,Soda,77,7
197,Cold Brew Coffee Tahitian Vanilla,26,7
198,Tzatziki Cucumber Sauce,67,20
199,Herb Thyme Clamshell,16,4
200,Radiant Pantiliners Regular Wrapped Unscented,126,11
